,urls,pgs
0,https://www.dollargeneral.com/on-sale/week-long-savings-ends-11-18.html,2
1,https://www.dollargeneral.com/on-sale/3-day-sale-ends-11-18.html,2
2,https://www.dollargeneral.com/on-sale/select-cereal-3-for-6.html,
3,https://www.dollargeneral.com/on-sale/dawn-dish-soap-2-for-6.html,
4,https://www.dollargeneral.com/on-sale/save-1-instantly-on-6-of-select-ziploc-products.html,
5,https://www.dollargeneral.com/on-sale/save-2-on-8-off-any-colgate-palmolive-products.html,2
6,https://www.dollargeneral.com/on-sale/save-3-on-10-on-any-robitussin-or-children-s-advil-products.html,
7,https://www.dollargeneral.com/on-sale/save-2-instantly-on-10-of-select-lysol-products.html,
8,https://www.dollargeneral.com/on-sale/save-3-instantly-on-15-select-airwick-products.html,
9,https://www.dollargeneral.com/on-sale/shop-these-new-online-products/pet-food-treats.html,
10,https://www.dollargeneral.com/on-sale/shop-these-new-online-products/food-pantry.html,
11,https://www.dollargeneral.com/on-sale/shop-these-new-online-products/cleaning-paper-products.html,
12,https://www.dollargeneral.com/on-sale/shop-these-new-online-products/beauty-personal-care.html,
13,https://www.dollargeneral.com/seasonal/gift-cards.html,
14,https://www.dollargeneral.com/seasonal/fall/tailgating.html,
15,https://www.dollargeneral.com/seasonal/fall/fall-apparel.html,
16,https://www.dollargeneral.com/seasonal/fall/health-beauty.html,
17,https://www.dollargeneral.com/seasonal/halloween/halloween-candy.html,
18,https://www.dollargeneral.com/seasonal/halloween/halloween-decorations.html,
19,https://www.dollargeneral.com/seasonal/halloween/halloween-costumes-accessories.html,
20,https://www.dollargeneral.com/seasonal/halloween/halloween-treats-party-supplies.html,
21,https://www.dollargeneral.com/seasonal/outdoor-living/beach-pool.html,
22,https://www.dollargeneral.com/seasonal/outdoor-living/outdoor-play.html,
23,https://www.dollargeneral.com/seasonal/outdoor-living/lawn-garden-care.html,
24,https://www.dollargeneral.com/seasonal/outdoor-living/pots-planters.html,
25,https://www.dollargeneral.com/seasonal/outdoor-living/grilling-cooking.html,
26,https://www.dollargeneral.com/holidays/trim-the-tree/ornaments-tree-decorations.html,2
27,https://www.dollargeneral.com/holidays/trim-the-tree/christmas-trees.html,
28,https://www.dollargeneral.com/holidays/decorate-your-home/christmas-decor-candles.html,2
29,https://www.dollargeneral.com/holidays/decorate-your-home/outdoor-christmas-decorations.html,
30,https://www.dollargeneral.com/holidays/decorate-your-home/holiday-lights-string-lights.html,
31,https://www.dollargeneral.com/holidays/decorate-your-home/treats-for-the-holiday.html,2
32,https://www.dollargeneral.com/holidays/holiday-gifts-supplies/toys-for-the-holiday.html,2
33,https://www.dollargeneral.com/holidays/holiday-gifts-supplies/video-games-audio-fun.html,
34,https://www.dollargeneral.com/holidays/holiday-gifts-supplies/gift-wrapping-supplies.html,
35,https://www.dollargeneral.com/holidays/holiday-gifts-supplies/christmas-cards.html,
36,https://www.dollargeneral.com/holidays/holiday-parties/holiday-baking.html,
37,https://www.dollargeneral.com/holidays/holiday-parties/holiday-party-supplies.html,
38,https://www.dollargeneral.com/holidays/holiday-parties/santa-hats-accessories.html,
39,https://www.dollargeneral.com/holidays/holiday-parties/clean-up.html,
40,https://www.dollargeneral.com/holidays/stocking-stuffers/holiday-candy.html,2
41,https://www.dollargeneral.com/holidays/stocking-stuffers/treats-for-your-4-legged-friend.html,
42,https://www.dollargeneral.com/holidays/stocking-stuffers/for-him.html,
